"Billing Tag","Client","Agent","Instance","Backupset","Subclient","Storage Policy","Copy","Front End Backup Size","Front End Archive Size","Primary App Size","Protected App Size","Media Size"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","FTP/IBM_AMS/LOCAL/PUBLIC","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","SIST_*","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","SIST_*","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","WRK","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","WRK","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","WRK/DADOS_P","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","WRK/DADOS_P","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","JBPAFSCSR001/XXTVG","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0","0"
"AWS - Glacier","A_ISILON","Linux File System","DefaultInstanceName","defaultBackupSet","JBPAFSCSR001/XXTVG","#STP_DATACENTER_FS_03","1-Primary","0","0","0","0","0"
"DCCM - OnPremisses","ACILNXLAB01","Virtual Server in RJ2K12VCENTER01","VMware","defaultBackupSet","GSATRJ_VM_DT_VOLACI","#STP_DATACENTER_VM_01","Primary","0.006","0","0.051","0.051","0.009"
"DCCM - OnPremisses","ACV-CONT-CLT-MN","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-menor100GB_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.01","0","0.026","0.026","0.005"
"DCCM - OnPremisses","ACV-CONT-SUP-1","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.06","0","0.167","0.167","0.029"
"DCCM - OnPremisses","ACV-CTRL-CORE1","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-maior400gb_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.167","0","0.76","0.76","0.133"
"DCCM - OnPremisses","ACV-CTRL-CORE2","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-maior400gb_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.246","0","0.976","0.976","0.17"
"DCCM - OnPremisses","ACV-CTRL-CORE3","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.14","0","0.768","0.768","0.134"
"DCCM - OnPremisses","ACV-CTRL-DLDB01","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.023","0","0.005","0.005","0.001"
"DCCM - OnPremisses","ACV-CTRL-DLDB02","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.024","0","0.005","0.005","0.001"
"DCCM - OnPremisses","ACV-CTRL-DSB","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.032","0","0.79","0.79","0.138"
"DCCM - OnPremisses","ACV-CTRL-GWEB","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.155","0","0.733","0.733","0.128"
"DCCM - OnPremisses","ACV-CTRL-ING","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.137","0","0.663","0.663","0.116"
"DCCM - OnPremisses","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/SIMPLE","#STP_DATACENTER_DB_01","1.Primary","0.075","0","0","0","0"
"DCCM - OnPremisses","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/FULL","#STP_DATACENTER_DB_01","1.Primary","0.031","0","0","0","0"
"AWS - Glacier","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/FULL","#STP_DATACENTER_DB_01","2.AWS","0","0","0","0","0"
"AWS - Glacier","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/FULL","#STP_DATACENTER_DB_02","2.AWS","0","0","0","0.02","0.003"
"AWS - Glacier","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/FULL","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","0"
"AWS - Glacier","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/SIMPLE","#STP_DATACENTER_DB_01","2.AWS","0","0","0","0","0"
"AWS - Glacier","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/SIMPLE","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","0"
"DCCM - OnPremisses","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/FULL","#STP_DATACENTER_DB_02","1.Primary","0","0","0.778","0.778","0.215"
"GCP - Archive","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/FULL","#_STP_GCP_SQL_DB","Primary","0","0","0.001","0.001","0"
"GCP - Archive","acv-ctrl-kpi","SQL Server","ACV-CTRL-KPI\ACV_KPI","defaultBackupSet","ACV-CTRL-KPI/SIMPLE","#_STP_GCP_SQL_DB","Primary","0","0","2.295","2.295","0.293"
"DCCM - OnPremisses","ACV-CTRL-WEB","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.22","0","0.55","0.55","0.096"
"DCCM - OnPremisses","AD1-VFX","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.019","0","0.091","0.091","0.016"
"DCCM - OnPremisses","AD2-CPP","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.034","0","0.246","0.246","0.043"
"DCCM - OnPremisses","ADBY-VFX","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-entre100e400_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.021","0","0.102","0.102","0.018"
"DCCM - OnPremisses","ANSIBLE","Virtual Server in vcenterment.servicos.corp.tvglobo.com.br","VMware","defaultBackupSet","vm-menor100GB_MAMEnt-CTRL-CLUSTER","#STP_DATACENTER_VM_01","Primary","0.016","0","0.038","0.038","0.007"
"DCCM - OnPremisses","azuretmp","Virtual Server in vCenterLAB","VMware","defaultBackupSet","HOMOLOGACAO","#STP_DATACENTER_VM_01","Primary","0.003","0","0","0","0"
"DCCM - OnPremisses","BEPAAFISR001","Virtual Server in SPPAVCSSR001.corp.tvglobo.com.br","VMware","defaultBackupSet","SP-Berrini","#STP_DATACENTER_VM_01","Primary","0.036","0","0.011","0.011","0.002"
"DCCM - OnPremisses","BEPAAFISR003","Virtual Server in SPPAVCSSR001.corp.tvglobo.com.br","VMware","defaultBackupSet","BEPAAFISR003 E 004","#STP_DATACENTER_VM_01","Primary","0.109","0","0.686","0.686","0.12"
"DCCM - OnPremisses","BEPAAFISR004","Virtual Server in SPPAVCSSR001.corp.tvglobo.com.br","VMware","defaultBackupSet","BEPAAFISR003 E 004","#STP_DATACENTER_VM_01","Primary","0.099","0","0.571","0.571","0.1"
"DCCM - OnPremisses","BHBKP-A","Virtual Server in vcentercs.corp.tvglobo.com.br","VMware","defaultBackupSet","Cluster_PRDJB_CSPROD","#STP_DATACENTER_VM_01","Primary","0.026","0","0.131","0.131","0.023"
"DCCM - OnPremisses","BHBKP-B","Virtual Server in vcentercs.corp.tvglobo.com.br","VMware","defaultBackupSet","Cluster_PRDJB_CSPROD","#STP_DATACENTER_VM_01","Primary","0.018","0","0.09","0.09","0.016"
"DCCM - OnPremisses","BHHAAPPSR001","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","1.Primary","0.041","0","0","0","0"
"AWS - Glacier","BHHAAPPSR001","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","2.AWS","0","0","0","0","0"
"AWS - Glacier","BHHAAPPSR001","SQL Server","BHHAAPPSR001","defaultBackupSet","H_SQL_SERVER","STP_TVGBH_DB","2.AWS","0","0","0","0","0"
"DCCM - OnPremisses","BHHAAPPSR001","SQL Server","BHHAAPPSR001","defaultBackupSet","H_SQL_SERVER","STP_TVGBH_DB","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","BHPAADSSR001_Desativado_CHG0067250","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.041","0","0","0","0"
"DCCM - OnPremisses","BHPAADSSR002_Desligado Nichollas","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.036","0","0","0","0"
"DCCM - OnPremisses","BHPAADSSR011","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.033","0","0.485","0.485","0.077"
"DCCM - OnPremisses","BHPAAPPSR001","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","1.Primary","0.033","0","0","0","0"
"AWS - Glacier","BHPAAPPSR001","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","2.AWS","0","0","0","0","0"
"AWS - Glacier","BHPAAPPSR001","SQL Server","BHPAAPPSR001","defaultBackupSet","P_SQL_SERVER","STP_TVGBH_DB","2.AWS","0","0","0","0","0"
"DCCM - OnPremisses","BHPAAPPSR001","SQL Server","BHPAAPPSR001","defaultBackupSet","P_SQL_SERVER","STP_TVGBH_DB","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","BHPAAPPSR002","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.033","0","0.212","0.212","0.034"
"AWS - Glacier","bhpabkpsr001","Windows File System","DefaultInstanceName","defaultBackupSet","FILESERVER","STP_TVGBH_FS_FILE","2.AWS","0","0","0","0","0"
"AWS - Glacier","bhpabkpsr001","Windows File System","DefaultInstanceName","defaultBackupSet","BACKUP_SFTP_SMB","STP_TVGBH_FS_FILE","2.AWS","0","0","0","0","0"
"AWS - Glacier","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/FULL","STP_TVGBH_DB","2.AWS","0","0","0","0","0"
"AWS - Glacier","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/FULL","#STP_DATACENTER_DB_01","2.AWS","0","0","0","0","0"
"AWS - Glacier","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/FULL","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","0"
"AWS - Glacier","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/SIMPLE","STP_TVGRJ_DB_SQL","2.AWS","0","0","0","0","0"
"AWS - Glacier","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/SIMPLE","_STP_DATACENTER_CLOUD_VAULT","Primary","0","0","0","0","0"
"DCCM - OnPremisses","bhpabkpsr001","Windows File System","DefaultInstanceName","defaultBackupSet","FILESERVER","STP_TVGBH_FS_FILE","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","bhpabkpsr001","Windows File System","DefaultInstanceName","defaultBackupSet","BACKUP_SFTP_SMB","STP_TVGBH_FS_FILE","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/FULL","STP_TVGBH_DB","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/FULL","#STP_DATACENTER_DB_01","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/SIMPLE","STP_TVGBH_DB","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/SIMPLE","STP_TVGRJ_DB_SQL","1.PrimaryNova","0","0","0","0","0"
"DCCM - OnPremisses","bhpabkpsr001","SQL Server","BHPABKPSR001\BKUPEXEC","defaultBackupSet","BHPABKPSR001/BKUPEXEC/SIMPLE","#STP_DATACENTER_DB_01","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","BHPACCMSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.064","0","0","0","0"
"AWS - Glacier","BHPACCMSR001","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","2.AWS","0","0","0","0","0"
"DCCM - OnPremisses","BHPACCMSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","bhpaesxsr005.corp.tvglobo.com.br","STP_TVGBH_VM","1.Primary","0","0","0","0","0"
"DCCM - OnPremisses","BHPACCMSR002","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.027","0","0.239","0.239","0.038"
"DCCM - OnPremisses","BHPACEDSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.03","0","0.213","0.213","0.034"
"DCCM - OnPremisses","BHPACEDSR002","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.031","0","0.201","0.201","0.032"
"DCCM - OnPremisses","BHPAFAMSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.023","0","0.22","0.22","0.035"
"DCCM - OnPremisses","BHPAFLKSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.011","0","0.01","0.01","0.002"
"DCCM - OnPremisses","BHPAFSCCL002","Windows File System","DefaultInstanceName","defaultBackupSet","TVG_BH_FS","STP_TVGBH_FS_FILE","1.Primary","1.343","0","4.878","4.878","0.777"
"AWS - Glacier","BHPAFSCCL002","Windows File System","DefaultInstanceName","defaultBackupSet","TVG_BH_FS","STP_TVGBH_FS_FILE","2.AWS","0","0","0","1.342","1.196"
"DCCM - OnPremisses","BHPAFSCSR001.corp.tvglobo.com.br","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","1.Primary","0.036","0","0.506","0.506","0.081"
"AWS - Glacier","BHPAFSCSR001.corp.tvglobo.com.br","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","2.AWS","0","0","0","0.034","0.016"
"DCCM - OnPremisses","BHPAFSCSR002.corp.tvglobo.com.br","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","1.Primary","0.036","0","0.52","0.52","0.083"
"AWS - Glacier","BHPAFSCSR002.corp.tvglobo.com.br","Windows File System","DefaultInstanceName","defaultBackupSet","default","STP_TVGBH_FS_FILE","2.AWS","0","0","0","0.033","0.016"
"DCCM - OnPremisses","BHPAFSCSR003","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.031","0","0.236","0.236","0.038"
"DCCM - OnPremisses","BHPAINFCL004","Windows File System","DefaultInstanceName","defaultBackupSet","BackupCEDOC","STP_TVGBH_FS_FILE","1.Primary","4.221","0","13.166","13.166","2.096"
"AWS - Glacier","BHPAINFCL004","Windows File System","DefaultInstanceName","defaultBackupSet","BackupCEDOC","STP_TVGBH_FS_FILE","2.AWS","0","0","0","4.186","4.171"
"DCCM - OnPremisses","BHPAINFSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.072","0","0.3","0.3","0.048"
"DCCM - OnPremisses","BHPAMAMSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.03","0","0.164","0.164","0.026"
"DCCM - OnPremisses","BHPAMOSSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.021","0","0.224","0.224","0.036"
"DCCM - OnPremisses","BHPAMOSSR002","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.02","0","0.192","0.192","0.031"
"DCCM - OnPremisses","BHPAPRNSR010.old.nao_ligar","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.025","0","0.232","0.232","0.037"
"DCCM - OnPremisses","BHPAPRNSR011","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.109","0","0.367","0.367","0.058"
"DCCM - OnPremisses","BHPASHGSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.023","0","0.176","0.176","0.028"
"DCCM - OnPremisses","BHPAVIRSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.034","0","0.257","0.257","0.041"
"DCCM - OnPremisses","BHPAZABSR001","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.009","0","0.009","0.009","0.001"
"DCCM - OnPremisses","BHPAZABSR002","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.009","0","0.007","0.007","0.001"
"DCCM - OnPremisses","BHPAZABSR003","Virtual Server in jbpavcssr006.corp.tvglobo.com.br","VMware","defaultBackupSet","BH-REGIONAIS","STP_TVGBH_VM","1.Primary","0.009","0","0.01","0.01","0.002"
"DCCM - OnPremisses","brho11glo1014","Linux File System","DefaultInstanceName","defaultBackupSet","fs-brho11glo1014-CMD","#STP_DATACENTER_FS_02","1.Primary","0.09","0","0.271","0.271","0.04"
"DCCM - OnPremisses","brho11glo1014","Oracle Database","CMD","default","BASE","#STP_DATACENTER_DB_02","1.Primary","0.015","0","0.469","0.469","0.129"
"AWS - Glacier","brho11glo1014","Linux File System","DefaultInstanceName","defaultBackupSet","fs-brho11glo1014-CMD","#STP_DATACENTER_FS_02","2.AWS","0","0","0","0.09","0.04"
"AWS - Glacier","brho11glo1014","Oracle Database","CMD","default","BASE","#STP_DATACENTER_DB_02","2.AWS","0","0","0","0.015","0.004"
